Артикул	Отдел	Наименование товара	Ед_изм	Количество в упаковке	Цена за упаковку
1	Конфеты	Батончик_соевый	грамм	250	132
2	Конфеты	Заяц_шоколадный_большой	шт	1	299
3	Конфеты	Заяц_шоколадный_малый	шт	6	349
4	Конфеты	Зефир_в_шоколаде	грамм	250	264
5	Конфеты	Зефир_ванильный	грамм	800	239
6	Конфеты	Зефир_воздушный	грамм	500	179
7	Конфеты	Зефир_лимонный	грамм	1000	299
8	Конфеты	Карамель_"Барбарис"	грамм	250	60
9	Конфеты	Карамель_"Взлетная"	грамм	500	109
10	Конфеты	Карамель_"Раковая_шейка"	грамм	1000	650
11	Конфеты	Карамель_клубничная	грамм	500	120
12	Конфеты	Карамель_лимонная	грамм	250	69
13	Конфеты	Карамель_мятная	грамм	500	99
14	Конфеты	Клюква_в_сахаре	грамм	300	264
15	Конфеты	Курага_в_шоколаде	грамм	250	360
16	Конфеты	Леденец_"Петушок"	шт	1	25
17	Конфеты	Леденцы_фруктовые_драже	грамм	150	149
18	Конфеты	Мармелад_в_шоколаде	грамм	150	144
19	Конфеты	Мармелад_желейный_фигурки	грамм	700	199
20	Конфеты	Мармелад_лимонный	грамм	500	155
21	Конфеты	Мармелад_сливовый	грамм	500	149
22	Конфеты	Мармелад_фруктовый	грамм	600	139
23	Конфеты	Мармелад_яблочный	грамм	1000	216
24	Конфеты	Набор_конфет_"Новогодний"	грамм	200	400
25	Конфеты	Пастила_ванильная	грамм	250	149
26	Конфеты	Пастила_с_клюквенным_соком	грамм	300	168
27	Конфеты	Сладкая_плитка_соевая	грамм	100	69
28	Конфеты	Суфле_в_шоколаде	грамм	250	138
29	Конфеты	Чернослив_в_шоколаде	грамм	250	360
30	Конфеты	Шоколад_молочный	грамм	100	86
31	Конфеты	Шоколад_с_изюмом	грамм	80	94
32	Конфеты	Шоколад_с_орехом	грамм	100	99
33	Конфеты	Шоколад_темный	грамм	100	96
34	Конфеты	Шоколадные_конфеты_"Белочка"	грамм	200	156
35	Конфеты	Шоколадные_конфеты_"Грильяж"	грамм	300	240
36	Конфеты	Шоколадные_конфеты_ассорти	грамм	400	399
37	Печенье	Галеты_для_завтрака	грамм	200	60
38	Печенье	Крекеры_воздушные	грамм	200	60
39	Печенье	Крекеры_соленые	грамм	250	49
40	Печенье	Крендель_с_корицей	грамм	200	84
41	Печенье	Крендельки_с_солью	грамм	100	39
42	Печенье	Орешки_с_вареной_сгущенкой	грамм	500	180
43	Печенье	Печенье_"Юбилейное"	грамм	120	60
44	Печенье	Печенье_кокосовое	грамм	200	96
45	Печенье	Печенье_миндальное	грамм	200	250
46	Печенье	Печенье_овсяное_классическое	грамм	300	98
47	Печенье	Печенье_овсяное_с_изюмом	грамм	300	114
48	Печенье	Печенье_овсяное_с_шоколадом	грамм	300	120
49	Печенье	Печенье_постное	грамм	250	72
50	Печенье	Печенье_с_клубничной_начинкой	грамм	250	129
51	Печенье	Печенье_с_лимонной_начинкой	грамм	250	129
52	Печенье	Печенье_с_маковой_начинкой	грамм	200	120
53	Печенье	Печенье_сахарное_для_тирамису	грамм	400	240
54	Печенье	Печенье_сдобное_апельсин	грамм	300	108
55	Печенье	Печенье_сдобное_вишня	грамм	300	120
56	Печенье	Пряник_большой_сувенирный	шт	1	180
57	Печенье	Пряник_тульский_с_начинкой	шт	1	48
58	Печенье	Пряники_имбирные	грамм	500	96
59	Печенье	Пряники_мятные	грамм	500	96
60	Печенье	Пряники_шоколадные	грамм	500	99
