ID магазина	Район	Адрес
M1	Октябрьский	просп. Мира, 45
M2	Заводской	ул. Металлургов, 12
M3	Прибрежный	Колхозная, 11
M4	Прибрежный	Луговая, 21
M5	Октябрьский	ул. Гагарина, 17
M6	Октябрьский	просп. Мира, 10
M7	Заводской	ул. Сталеваров, 14
M8	Заводской	ул. Сталеваров, 42
M9	Прибрежный	Луговая, 7
M10	Октябрьский	просп. Революции, 1
M11	Заводской	Газгольдерная, 22
M12	Заводской	Мартеновская, 2
M13	Заводской	Мартеновская, 36
M14	Прибрежный	Элеваторная, 15
M15	Октябрьский	просп. Революции, 29
M16	Заводской	ул. Металлургов. 29
M17	Октябрьский	ул. Фрунзе, 9
M18	Прибрежный	Лесная, 7
